name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
100%_Bran,N,C,70,4,1,130,10,5,6,280,25,3,1,0.33,68.40297
100%_Natural_Bran,Q,C,120,3,5,15,2,8,8,135,0,3,1,1,33.98368
All-Bran,K,C,70,4,1,260,9,7,5,320,25,3,1,0.33,59.42551
All-Bran_with_Extra_Fiber,K,C,50,4,0,140,14,8,0,330,25,3,1,0.5,93.70491
Almond_Delight,R,C,110,2,2,200,1,14,8,-1,25,3,1,0.75,34.38484
Apple_Cinnamon_Cheerios,G,C,110,2,2,180,1.5,10.5,10,70,25,1,1,0.75,29.50954
Apple_Jacks,K,C,110,2,0,125,1,11,14,30,25,2,1,1,33.1741
Basic_4,G,C,130,3,2,210,2,18,8,100,25,3,1.33,0.75,37.03856
Bran_Chex,R,C,90,2,1,200,4,15,6,125,25,1,1,0.67,49.12025
Bran_Flakes,P,C,90,3,0,210,5,13,5,190,25,3,1,0.67,53.31381
Cap'n'Crunch,Q,C,120,1,2,220,0,12,12,35,25,2,1,0.75,18.04285
Cheerios,G,C,110,6,2,290,2,17,1,105,25,1,1,1.25,50.765
Cinnamon_Toast_Crunch,G,C,120,1,3,210,0,13,9,45,25,2,1,0.75,19.82357
Clusters,G,C,110,3,2,140,2,13,7,105,25,3,1,0.5,40.40021
Cocoa_Puffs,G,C,110,1,1,180,0,12,13,55,25,2,1,1,22.73645
Corn_Chex,R,C,110,2,0,280,0,22,3,25,25,1,1,1,41.44502
Corn_Flakes,K,C,100,2,0,290,1,21,2,35,25,1,1,1,45.86332
Corn_Pops,K,C,110,1,0,90,1,13,12,20,25,2,1,1,35.78279
Count_Chocula,G,C,110,1,1,180,0,12,13,65,25,2,1,1,22.39651
Cracklin'_Oat_Bran,K,C,110,3,3,140,4,10,7,160,25,3,1,0.5,40.44877
Cream_of_Wheat_(Quick),N,H,100,3,0,80,1,21,0,-1,0,2,1,1,64.53381
Crispix,K,C,110,2,0,220,1,21,3,30,25,3,1,1,46.89565
Crispy_Wheat_&_Raisins,G,C,100,2,1,140,2,11,10,120,25,3,1,0.75,36.1762
Double_Chex,R,C,100,2,0,190,1,18,5,80,25,3,1,0.75,44.33086
Froot_Loops,K,C,110,2,1,125,1,11,13,30,25,2,1,1,32.20758
Frosted_Flakes,K,C,110,1,0,200,1,14,11,25,25,1,1,0.75,31.43597
Frosted_Mini-Wheats,K,C,100,3,0,0,3,14,7,100,25,2,1,0.8,58.34514
"Fruit_&_Fibre_Dates,_Walnuts,_and_Oats",P,C,120,3,2,160,5,12,10,200,25,3,1.25,0.67,40.91705
Fruitful_Bran,K,C,120,3,0,240,5,14,12,190,25,3,1.33,0.67,41.01549
Fruity_Pebbles,P,C,110,1,1,135,0,13,12,25,25,2,1,0.75,28.02576
Golden_Crisp,P,C,100,2,0,45,0,11,15,40,25,1,1,0.88,35.25245
Golden_Grahams,G,C,110,1,1,280,0,15,9,45,25,2,1,0.75,23.80404
Grape_Nuts_Flakes,P,C,100,3,1,140,3,15,5,85,25,3,1,0.88,52.0769
Grape-Nuts,P,C,110,3,0,170,3,17,3,90,25,3,1,0.25,53.37101
Great_Grains_Pecan,P,C,120,3,3,75,3,13,4,100,25,3,1,0.33,45.81171
Honey_Graham_Ohs,Q,C,120,1,2,220,1,12,11,45,25,2,1,1,21.87129
Honey_Nut_Cheerios,G,C,110,3,1,250,1.5,11.5,10,90,25,1,1,0.75,31.07222
Honey-comb,P,C,110,1,0,180,0,14,11,35,25,1,1,1.33,28.74241
Just_Right_Crunchy__Nuggets,K,C,110,2,1,170,1,17,6,60,100,3,1,1,36.52368
Just_Right_Fruit_&_Nut,K,C,140,3,1,170,2,20,9,95,100,3,1.3,0.75,36.47151
Kix,G,C,110,2,1,260,0,21,3,40,25,2,1,1.5,39.24112
Life,Q,C,100,4,2,150,2,12,6,95,25,2,1,0.67,45.32808
Lucky_Charms,G,C,110,2,1,180,0,12,12,55,25,2,1,1,26.73451
Maypo,A,H,100,4,1,0,0,16,3,95,25,2,1,1,54.85092
"Muesli_Raisins,_Dates,_&_Almonds",R,C,150,4,3,95,3,16,11,170,25,3,1,1,37.13686
"Muesli_Raisins,_Peaches,_&_Pecans",R,C,150,4,3,150,3,16,11,170,25,3,1,1,34.13977
Mueslix_Crispy_Blend,K,C,160,3,2,150,3,17,13,160,25,3,1.5,0.67,30.31335
Multi-Grain_Cheerios,G,C,100,2,1,220,2,15,6,90,25,1,1,1,40.10596
Nut&Honey_Crunch,K,C,120,2,1,190,0,15,9,40,25,2,1,0.67,29.92429
Nutri-Grain_Almond-Raisin,K,C,140,3,2,220,3,21,7,130,25,3,1.33,0.67,40.69232
Nutri-grain_Wheat,K,C,90,3,0,170,3,18,2,90,25,3,1,1,59.64284
Oatmeal_Raisin_Crisp,G,C,130,3,2,170,1.5,13.5,10,120,25,3,1.25,0.5,30.45084
Post_Nat._Raisin_Bran,P,C,120,3,1,200,6,11,14,260,25,3,1.33,0.67,37.8406
Product_19,K,C,100,3,0,320,1,20,3,45,100,3,1,1,41.50354
Puffed_Rice,Q,C,50,1,0,0,0,13,0,15,0,3,0.5,1,60.75611
Puffed_Wheat,Q,C,50,2,0,0,1,10,0,50,0,3,0.5,1,63.00565
Quaker_Oat_Squares,Q,C,100,4,1,135,2,14,6,110,25,3,1,0.5,49.51188
Quaker_Oatmeal,Q,H,100,5,2,0,2.7,-1,-1,110,0,1,1,0.67,50.82839
Raisin_Bran,K,C,120,3,1,210,5,14,12,240,25,2,1.33,0.75,39.2592
Raisin_Nut_Bran,G,C,100,3,2,140,2.5,10.5,8,140,25,3,1,0.5,39.7034
Raisin_Squares,K,C,90,2,0,0,2,15,6,110,25,3,1,0.5,55.33314
Rice_Chex,R,C,110,1,0,240,0,23,2,30,25,1,1,1.13,41.99893
Rice_Krispies,K,C,110,2,0,290,0,22,3,35,25,1,1,1,40.56016
Shredded_Wheat,N,C,80,2,0,0,3,16,0,95,0,1,0.83,1,68.23589
Shredded_Wheat_'n'Bran,N,C,90,3,0,0,4,19,0,140,0,1,1,0.67,74.47295
Shredded_Wheat_spoon_size,N,C,90,3,0,0,3,20,0,120,0,1,1,0.67,72.80179
Smacks,K,C,110,2,1,70,1,9,15,40,25,2,1,0.75,31.23005
Special_K,K,C,110,6,0,230,1,16,3,55,25,1,1,1,53.13132
Strawberry_Fruit_Wheats,N,C,90,2,0,15,3,15,5,90,25,2,1,1,59.36399
Total_Corn_Flakes,G,C,110,2,1,200,0,21,3,35,100,3,1,1,38.83974
Total_Raisin_Bran,G,C,140,3,1,190,4,15,14,230,100,3,1.5,1,28.59278
Total_Whole_Grain,G,C,100,3,1,200,3,16,3,110,100,3,1,1,46.65884
Triples,G,C,110,2,1,250,0,21,3,60,25,3,1,0.75,39.10617
Trix,G,C,110,1,1,140,0,13,12,25,25,2,1,1,27.7533
Wheat_Chex,R,C,100,3,1,230,3,17,3,115,25,1,1,0.67,49.78745
Wheaties,G,C,100,3,1,200,3,17,3,110,25,1,1,1,51.59219
Wheaties_Honey_Gold,G,C,110,2,1,200,1,16,8,60,25,1,1,0.75,36.18756
