Y X1 X2 X3
13.5 13.37 -2.43 -0.64
12 11.89 15.89 -1.18
10.5 10.96 11.32 -1.5
15 15.71 7.2 -0.18
14 14.17 8.15 -0.44
10.5 10.76 17.53 -3.19
14 13.7 4.97 -0.13
16.5 16.68 -6.46 1.67
17.5 17.28 5.63 0.32
16.5 16.6 13.08 -2.38
17 16.59 6.24 -2.47
16.5 16.35 7.08 0.62
16 15.72 -0.09 -3.03
16.5 16.61 11.58 -0.56
17.23 17.58 6.16 -1.12
17 17.41 1.35 1.87
16 16.25 5.68 -1.31
14.62 14.46 15.34 -1.43
14.5 14.69 21.65 1.44
14.5 14.08 7.28 -1.67
16.5 16.63 3.83 -0.05
16.5 16.02 3.91 0.4
15 14.65 2.86 -0.52
15 14.93 -2.38 -1.17
13 12.5 16.81 1.13
12.5 0.03 -3.12 12.65
14 -0.32 16.12 13.82
13.75 -2.36 11.22 13.7
14 -1.03 0.36 13.87
15 0.51 10.57 15.19
13.75 0.67 8.43 13.82
15.62 -2.08 5.85 15.6
15.62 -0.63 -5.99 15.71
13 -2.8 12.93 13.09
14 -0.44 13.93 14.06
15.25 1.9 8.58 15.27
16.25 1.3 3.23 16.33
13 -0.41 17.27 13.28
14.5 1.7 6 14.35
11.5 1.28 19.3 11.49
14.25 0.15 -6.54 14.2
15.5 -1.65 9.58 15.48
12 -0.34 -7.83 12.01
14.25 1.6 21.62 14.39
14 0.83 4.68 14.07
16.5 -1.03 7.8 16.32
14.5 -3.77 6.39 14.3
15.5 -1.16 1.46 15.61
16.75 -3.65 10.02 16.77
16.75 -2.18 4.39 16.9
