"cons","income","price","temp","time"
0.386,78,0.27,41,1
0.374,79,0.282,56,2
0.393,81,0.277,63,3
0.425,80,0.28,68,4
0.406,76,0.272,69,5
0.344,78,0.262,65,6
0.327,82,0.275,61,7
0.288,79,0.267,47,8
0.269,76,0.265,32,9
0.256,79,0.277,24,10
0.286,82,0.282,28,11
0.298,85,0.27,26,12
0.329,86,0.272,32,13
0.318,83,0.287,40,14
0.381,84,0.277,55,15
0.381,82,0.287,63,16
0.47,80,0.28,72,17
0.443,78,0.277,72,18
0.386,84,0.277,67,19
0.342,86,0.277,60,20
0.319,85,0.292,44,21
0.307,87,0.287,40,22
0.284,94,0.277,32,23
0.326,92,0.285,27,24
0.309,95,0.282,28,25
0.359,96,0.265,33,26
0.376,94,0.265,41,27
0.416,96,0.265,52,28
0.437,91,0.268,64,29
0.548,90,0.26,71,30
