ID,Stay,Age,InfctRsk,Culture,Xray,Beds,MedSchool,Region,Census,Nurses,Facilities
5,11.2,56.5,5.7,34.5,88.9,180,2,1,134,151,40
10,8.84,56.3,6.3,29.6,82.6,85,2,1,59,66,40
11,11.07,53.2,4.9,28.5,122,768,1,1,591,656,80
13,12.78,56.8,7.7,46,116.9,322,1,1,252,349,57.1
18,11.62,53.9,6.4,25.5,99.2,133,2,1,113,101,37.1
23,9.78,52.3,5,17.6,95.9,270,1,1,240,198,57.1
27,9.31,47.2,4.5,30.2,101.3,170,2,1,124,173,37.1
28,8.19,52.1,3.2,10.8,59.2,176,2,1,156,88,37.1
29,11.65,54.5,4.4,18.6,96.1,248,2,1,217,189,37.1
31,11.03,49.9,5,19.7,102.1,318,2,1,270,335,57.1
33,11.77,54.1,5.3,17.3,56,196,2,1,164,165,34.3
34,13.59,54,6.1,24.2,111.7,312,2,1,258,169,54.3
36,10.33,55.8,5,21.2,104.3,266,2,1,181,149,54.3
51,11.48,57.6,5.6,20.3,82,252,2,1,207,251,51.4
55,8.63,54,3.1,8.4,56.2,76,2,1,39,44,31.4
56,11.15,56.5,3.9,7.7,73.9,281,2,1,217,199,51.4
61,10.42,58,3.4,8,59,119,2,1,67,64,31.4
66,9.42,50.6,4.3,24.8,62.8,508,2,1,421,528,48.6
70,8.03,54.2,3.5,24.3,87.3,97,2,1,65,55,28.6
74,10.05,52,4.5,36.7,87.5,184,1,1,144,151,68.6
77,8.9,49.7,2.9,12.7,86.9,52,2,1,37,35,28.6
89,9.36,54.1,4.8,18.3,90.6,165,2,1,127,158,45.7
96,8.54,56.1,2.5,27,82.5,98,2,1,57,75,45.7
98,12.01,52.8,4.8,10.8,96.9,298,2,1,237,115,45.7
102,9.89,45.2,4.3,11.8,108.7,190,2,1,141,112,42.9
104,13.95,65.9,6.6,15.6,133.5,356,2,1,308,182,62.9
2,8.82,58.2,1.6,3.8,51.7,80,2,2,51,52,40
6,9.76,50.9,5.1,21.9,97,150,2,2,147,106,40
8,11.18,45.7,5.4,60.5,85.8,640,1,2,399,360,60
14,7.58,56.7,3.7,20.8,88,97,2,2,59,79,37.1
19,9.06,52.8,4.2,6.9,75.9,134,2,2,103,125,37.1
22,10.24,49,4.8,36.3,112.6,195,2,2,163,170,37.1
26,8.28,49.5,3.9,12,113.1,546,1,2,413,436,57.1
30,9.89,50.5,4.9,17.7,103.6,167,2,2,113,106,37.1
32,9.84,53,5.2,17.7,72.6,210,2,2,200,239,54.3
35,9.74,54.4,6.3,11.4,76.1,221,2,2,170,172,54.3
37,9.97,58.2,2.8,16.5,76.5,90,2,2,69,42,34.3
39,10.47,53.2,4.1,5.7,69.1,196,2,2,168,153,54.3
45,8.37,50.7,5.5,15.1,84.8,115,2,2,96,88,34.3
48,10.9,57.2,5.5,10.6,71.9,593,2,2,446,211,51.4
52,9.23,51.6,4.3,11.6,42.6,620,2,2,413,420,71.4
54,12.07,43.7,7.8,52.4,105.3,157,2,2,115,76,31.4
59,10.73,50.6,3.9,19.3,101,445,1,2,374,345,51.4
62,11.18,51,5.7,18.8,55.9,595,1,2,546,392,68.6
64,9.66,52.1,4.4,9.9,98.3,83,2,2,66,95,28.6
67,10.02,49.5,4.4,8.3,93,265,2,2,191,202,48.6
71,7.39,51,4.2,14.6,88.4,72,2,2,38,67,28.6
75,8.45,38.8,3.4,12.9,85,235,2,2,143,124,48.6
78,10.23,53.2,4.9,9.9,77.9,752,1,2,595,446,68.6
79,8.88,55.8,4.4,14.1,76.8,237,2,2,165,182,48.6
80,10.3,59.6,5.1,27.8,88.9,175,2,2,113,73,45.7
81,10.79,44.2,2.9,2.6,56.6,461,1,2,320,196,65.7
82,7.94,49.5,3.5,6.2,92.3,195,2,2,139,116,45.7
88,10.39,54.6,4.3,14,88.3,353,2,2,223,200,65.7
93,8.92,53.9,1.3,2.2,79.5,56,2,2,40,14,5.7
95,9.77,50.2,5.3,15.7,89.7,154,2,2,123,148,25.7
108,8.02,55,2.1,3.8,46.5,91,2,2,44,32,22.9
109,11.8,53.8,5.7,9.1,116.9,571,1,2,441,469,62.9
