"movie_id","movie_title","tomatometer_rating","audience_rating"
"17401","Willow Creek",81,34
"4775","Colonia",26,61
"13218","She's the Man",43,79
"10539","Mongol",86,76
"8462","I.Q.",44,47
"4050","Bringing Down the House",34,49
"13499","So Much So Fast",96,85
"11571","Pandora and the Flying Dutchman",66,77
"12257","Raise Ravens (Cria Cuervos)",100,94
"17685","Zero Dark Thirty",91,80
"14262","Tape",77,76
"13903","Stir Crazy",67,75
"9941","Madman",36,35
"8229","Imagining Argentina",31,71
"17513","The Woodsman",88,77
"878","Born to Kill",83,75
"6526","Flaming Star",91,72
"12204","Quill: The Life of a Guide Dog",81,81
"11041","Night at the Museum",43,67
"7075","Go Further",59,70
"14662","The Brooklyn Brothers Beat The Best",33,62
"9638","Locker 13",13,53
"3476","Between Us",50,34
"1948","2 Days in Paris",87,72
"1530","See No Evil",9,50
"15225","The Infiltrator",72,71
"12631","Rock Dog",47,47
"16044","The Wind",82,50
"4633","City of Ember",53,46
"6519","Five Star",75,51
"1222","The Impostors",62,73
"10618","Motel Hell",71,49
"9888","M. Butterfly",43,67
"16910","Viktor",0,13
"17453","Withnail and I",94,94
"5522","Dirty Dancing",68,90
"13928","Story of a Love Affair (Cronaca di un amore)",93,61
"16849","Vehicle 19",23,31
"13284","Shut Up Little Man!",68,62
"13837","Stay",27,70
"7976","How to Deal",27,64
"16089","The Zen Of Bennett",67,70
"9392","Lenny",88,88
"15705","The Reflecting Skin",88,78
"3863","Bones",23,40
"9326","Le Deuxième souffle (Second Breath)",NA,67
"6877","Garbo Talks",13,47
"10140","Mars Attacks!",54,53
"8749","Johnstown Flood",73,60
"13973","Street Smart",64,44
"8479","Ironclad",42,41
"6473","Firehouse Dog",38,62
"15191","The Hunt",83,NA
"9714","Lord of War",61,84
"858","The Pit and the Pendulum",56,39
"14128","Suspended Animation",52,18
"6763","Friday the 13th Part 2",27,48
"9182","Lady and the Tramp II: Scamp's Adventure",45,50
"11367","One Fall",10,50
"16700","Under the Tuscan Sun",62,78
"733","Sinbad the Sailor",80,60
"13602","Sordid Lives",37,85
"14986","The Freebie",57,31
"6273","Family Plot",92,62
"4907","Cost of a Soul",27,48
"5051","Cupcakes",78,62
"2330","Ad Astra",83,40
"9359","Left Behind",1,38
"6429","Omen III: The Final Conflict",30,33
"3992","Breaking In",27,32
"1706","The Wrecking Crew",94,84
"501","100 Streets",41,36
"11980","Postcards From London",50,32
"6655","Found",67,48
"15655","The Prince (El Principe)",92,86
"16920","Violent Cop (Sono otoko, kyôbô ni tsuki)",83,80
"15029","The Girl in the Spider's Web",39,36
"11478","Our Idiot Brother",70,51
"16168","This Christmas",55,81
"6881","Gardens of the Night",57,66
"7514","Harold and Maude",85,93
"3747","Blood and Wine",61,35
"29","Running Scared",41,79
"11854","Pioneer",55,33
"1942","28 Hotel Rooms",47,38
"4934","Cracks",43,48
"13940","Stranded: I Have Come from a Plane That Crashed on the Mountains",92,93
"4182","The Butcher Boy",77,82
"14663","The Brother from Another Planet",89,75
"8547","Ivory Tower",83,78
"9458","L!fe Happens",26,30
"15800","The Shop On Main Street (Obchod na Korze)",100,94
"6902","G.B.F.",80,55
"12535","Riding the Bullet",26,34
"219","Season of the Witch",11,30
"12399","Reincarnated",28,41
"16916","Vincent N Roxxy",41,65
"14713","The China Hustle",78,80
"3123","Bad Rap",70,77
"13877","Stepmom",45,75
"6611","For Love or Money",37,45
"5936","Elaine Stritch: Shoot Me",99,79
"7233","Grace Is Gone",62,60
"17532","The World, the Flesh and the Devil",NA,67
"14330","The Tenant",88,87
"1101","The Rock",66,85
"11874","Pixels",17,46
"1218","True Crime",54,49
"4115","The Buddy Holly Story",100,77
