y	x1	x2	x3	x4
1.86	0.374	0.846	1.951	1.325
9.747	2.184	3.754	5.099	5.372
12.707	2.164	3.635	2.505	2.582
12.822	5.595	4.805	3.653	3.399
5.16	5.33	2.611	1.873	1.474
16.463	5.18	7.259	5.632	3.105
15.956	7.487	7.506	5.838	2.89
23.978	8.738	8.506	6.709	4.773
28.819	9.576	8.705	8.606	8.326
17.527	9.695	9.335	6.971	5.401
28.628	12.512	11.196	8.769	6.603
32.807	12.39	11.672	10.19	7.765
30.756	12.379	10.841	9.997	6.913
13.69	11.785	9.337	6.897	3.729
39.563	16.125	15.6	12.172	11.496
45.757	15.955	15.979	13.507	9.331
41.043	16.984	15.077	13.279	9.297
31.808	18.944	15.896	12.666	7.374
37.822	19.821	18.581	13.635	9.597
49.643	20.594	18.59	16.781	11.799
46.003	21.919	18.094	16.11	11.322
50.16	22.782	20.606	15.974	9.695
51.954	23.075	20.237	16.324	13.512
46.837	22.011	19.569	14.095	11.93
55.772	25.62	22.001	18.371	13.849
63.375	25.944	25.253	22.014	14.609
52.234	26.844	23.929	17.706	13.408
59.912	26.529	22.371	17.317	12.175
57.276	28.522	25.967	20.332	14.213
67.259	30.418	27.739	21.71	16.86
61.962	32.359	28.237	20.756	13.602
68.549	31.897	25.919	21.436	14.794
70.979	33.388	29.508	22.275	15.161
73.61	33.946	31.222	25.153	17.927
73.202	33.623	30.301	25.034	16.251
79.683	35.585	32.028	25.624	17.534
89.891	36.606	33.606	27.977	20.6
80.99	37.941	33.06	26.622	19.401
84.434	40.1	37.287	29.382	19.893
87.152	40.763	36.782	30.272	22.049
93.127	40.835	37.559	29.814	18.737
89.448	41.747	38.706	32.937	23.016
105.065	43.697	39.651	31.902	23.345
94.447	44.557	39.322	32.511	22.398
97.687	44.311	41.143	33.32	23.587
87.123	45.293	38.863	28.282	18.504
102.518	47.365	42.183	32.581	23.954
103.194	48.769	43.736	34.765	22.785
99.532	48.888	43.933	35.583	24.884
109.179	50.881	46.913	35.388	24.816
114.414	51.398	46.495	38.357	27.211
112.113	51.388	46.756	37.001	25.377
112.464	53.341	48.037	37.877	28.644
102.401	52.871	47.436	36.593	24.485
120.19	56.433	51.585	40.014	28.564
122.055	57.98	53.429	42.999	27.46
115.063	56.633	48.666	39.642	28.052
118.284	56.956	51.933	39.649	28.564
125.3	59.57	54.087	42.466	28.941
128.708	59.865	53.553	43.578	31.51
140.735	63.402	58.112	46.237	32.997
140.179	61.961	55.475	46.746	33.998
135.373	63.69	57.136	47.155	32.465
139.01	64.028	58.583	47.662	32.693
141.737	64.257	59.651	47.925	32.076
147.447	66.189	59.94	48.431	33.879
136.647	65.195	58.353	46.177	31.285
143.274	69.466	61.43	49.972	35.969
151.259	69.153	62.007	51.286	36.271
156.627	72.173	64.116	52.576	39.293
155.856	71.476	64.169	50.722	34.648
153.687	71.29	64.655	50.305	36.696
153.632	73.611	65.498	52.489	36.515
